SAGDP2N Gross domestic product (GDP) by state 1
SAGDP2N Gross domestic product (GDP) by state 1
State or DC
GeoFips,GeoName,LineCode,Description,2022
00000,United States *,1,All industry total,25744108.0
00000,United States *,2,"  Private industries",22807496.0
00000,United States *,3,"    Agriculture, forestry, fishing and hunting",270820.0
00000,United States *,4,"      Farms",223517.0
00000,United States *,5,"      Forestry, fishing, and related activities",47304.0
00000,United States *,6,"    Mining, quarrying, and oil and gas extraction",457438.0
00000,United States *,7,"      Oil and gas extraction",324524.0
00000,United States *,8,"      Mining (except oil and gas)",78287.0
00000,United States *,9,"      Support activities for mining",54626.0
00000,United States *,10,"    Utilities",438206.0
00000,United States *,11,"    Construction",1090107.0
00000,United States *,12,"    Manufacturing",2649697.0
00000,United States *,13,"      Durable goods manufacturing",1406863.0
00000,United States *,14,"        Wood product manufacturing",62076.0
00000,United States *,15,"        Nonmetallic mineral product manufacturing",73065.0
00000,United States *,16,"        Primary metal manufacturing",91762.0
00000,United States *,17,"        Fabricated metal product manufacturing",164893.0
00000,United States *,18,"        Machinery manufacturing",182101.0
00000,United States *,19,"        Computer and electronic product manufacturing",301821.0
00000,United States *,20,"        Electrical equipment, appliance, and component manufacturing",63166.0
00000,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",156406.0
00000,United States *,22,"        Other transportation equipment manufacturing",172989.0
00000,United States *,23,"        Furniture and related product manufacturing",31228.0
00000,United States *,24,"        Miscellaneous manufacturing",107355.0
00000,United States *,25,"      Nondurable goods manufacturing",1242834.0
00000,United States *,26,"        Food and beverage and tobacco product manufacturing",311858.0
00000,United States *,27,"        Textile mills and textile product mills",17450.0
00000,United States *,28,"        Apparel, leather, and allied product manufacturing",10380.0
00000,United States *,29,"        Paper manufacturing",69158.0
00000,United States *,30,"        Printing and related support activities",42259.0
00000,United States *,31,"        Petroleum and coal products manufacturing",199918.0
00000,United States *,32,"        Chemical manufacturing",501387.0
00000,United States *,33,"        Plastics and rubber products manufacturing",90422.0
00000,United States *,34,"    Wholesale trade",1546826.0
00000,United States *,35,"    Retail trade",1621033.0
00000,United States *,36,"    Transportation and warehousing",920507.0
00000,United States *,37,"      Air transportation",151989.0
00000,United States *,38,"      Rail transportation",51481.0
00000,United States *,39,"      Water transportation",20976.0
00000,United States *,40,"      Truck transportation",263268.0
00000,United States *,41,"      Transit and ground passenger transportation",56957.0
00000,United States *,42,"      Pipeline transportation",49801.0
00000,United States *,43,"      Other transportation and support activities",211495.0
00000,United States *,44,"      Warehousing and storage",114542.0
00000,United States *,45,"    Information",1392761.0
00000,United States *,46,"      Publishing industries (except Internet)",358213.0
00000,United States *,47,"      Motion picture and sound recording industries",100377.0
00000,United States *,48,"      Broadcasting (except Internet) and telecommunications",512497.0
00000,United States *,49,"      Data processing, hosting, and other information services",421675.0
00000,United States *,50,"    Finance, insurance, real estate, rental, and leasing",5329881.0
00000,United States *,51,"      Finance and insurance",1932937.0
00000,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",856745.0
00000,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",360583.0
00000,United States *,54,"        Insurance carriers and related activities",687269.0
00000,United States *,55,"        Funds, trusts, and other financial vehicles",28341.0
00000,United States *,56,"      Real estate and rental and leasing",3396944.0
00000,United States *,57,"        Real estate",3080400.0
00000,United States *,58,"        Rental and leasing services and lessors of nonfinancial intangible assets",316544.0
00000,United States *,59,"    Professional and business services",3314348.0
00000,United States *,60,"      Professional, scientific, and technical services",2013355.0
00000,United States *,61,"        Legal services",328934.0
00000,United States *,62,"        Computer systems design and related services",458023.0
00000,United States *,63,"        Miscellaneous professional, scientific, and technical services",1226398.0
00000,United States *,64,"      Management of companies and enterprises",480405.0
00000,United States *,65,"      Administrative and support and waste management and remediation services",820588.0
00000,United States *,66,"        Administrative and support services",749366.0
00000,United States *,67,"        Waste management and remediation services",71223.0
00000,United States *,68,"    Educational services, health care, and social assistance",2149807.0
00000,United States *,69,"      Educational services",293451.0
00000,United States *,70,"      Health care and social assistance",1856356.0
00000,United States *,71,"        Ambulatory health care services",896414.0
00000,United States *,72,"        Hospitals",599555.0
00000,United States *,73,"        Nursing and residential care facilities",177975.0
00000,United States *,74,"        Social assistance",182412.0
00000,United States *,75,"    Arts, entertainment, recreation, accommodation, and food services",1081631.0
00000,United States *,76,"      Arts, entertainment, and recreation",271225.0
00000,United States *,77,"        Performing arts, spectator sports, museums, and related activities",160054.0
00000,United States *,78,"        Amusement, gambling, and recreation industries",111171.0
00000,United States *,79,"      Accommodation and food services",810407.0
00000,United States *,80,"        Accommodation",215831.0
00000,United States *,81,"        Food services and drinking places",594576.0
00000,United States *,82,"    Other services (except government and government enterprises)",544433.0
00000,United States *,83,"  Government and government enterprises",2936612.0
00000,United States *,84,"    Federal civilian",559150.0
00000,United States *,85,"    Military",380258.0
00000,United States *,86,"    State and local",1997200.0
00000,United States *,,Addenda:,
00000,United States *,87,Natural resources and mining,728258.0
00000,United States *,88,Trade,3167859.0
00000,United States *,89,Transportation and utilities,1358714.0
00000,United States *,90,Manufacturing and information,4042458.0
00000,United States *,91,Private goods-producing industries 2,4468062.0
00000,United States *,92,Private services-providing industries 3,18339434.0
00000,United States *,100,"All industry total, overseas activity",146493.0
00000,United States *,101,"Government and government enterprises, overseas activity",146493.0
00000,United States *,102,"Federal civilian, overseas activity",5761.0
00000,United States *,103,"Military, overseas activity",140732.0
01000,Alabama,1,All industry total,281569.0
01000,Alabama,2,"  Private industries",238043.3
01000,Alabama,3,"    Agriculture, forestry, fishing and hunting",3337.3
01000,Alabama,4,"      Farms",2653.0
01000,Alabama,5,"      Forestry, fishing, and related activities",684.3
01000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",2469.6
01000,Alabama,7,"      Oil and gas extraction",450.1
01000,Alabama,8,"      Mining (except oil and gas)",1926.1
01000,Alabama,9,"      Support activities for mining",93.4
01000,Alabama,10,"    Utilities",8377.5
01000,Alabama,11,"    Construction",12879.7
01000,Alabama,12,"    Manufacturing",43861.3
01000,Alabama,13,"      Durable goods manufacturing",28456.8
01000,Alabama,14,"        Wood product manufacturing",3224.1
01000,Alabama,15,"        Nonmetallic mineral product manufacturing",1947.6
01000,Alabama,16,"        Primary metal manufacturing",4900.8
01000,Alabama,17,"        Fabricated metal product manufacturing",2965.5
01000,Alabama,18,"        Machinery manufacturing",1169.6
01000,Alabama,19,"        Computer and electronic product manufacturing",1006.1
01000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",854.5
01000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",5908.5
01000,Alabama,22,"        Other transportation equipment manufacturing",4887.6
01000,Alabama,23,"        Furniture and related product manufacturing",797.7
01000,Alabama,24,"        Miscellaneous manufacturing",794.8
01000,Alabama,25,"      Nondurable goods manufacturing",15404.4
01000,Alabama,26,"        Food and beverage and tobacco product manufacturing",3300.4
01000,Alabama,27,"        Textile mills and textile product mills",562.8
01000,Alabama,28,"        Apparel, leather, and allied product manufacturing",101.8
01000,Alabama,29,"        Paper manufacturing",3332.4
01000,Alabama,30,"        Printing and related support activities",248.4
01000,Alabama,31,"        Petroleum and coal products manufacturing",2262.7
01000,Alabama,32,"        Chemical manufacturing",4017.6
01000,Alabama,33,"        Plastics and rubber products manufacturing",1578.3
01000,Alabama,34,"    Wholesale trade",17276.6
01000,Alabama,35,"    Retail trade",21319.4
01000,Alabama,36,"    Transportation and warehousing",8910.1
01000,Alabama,37,"      Air transportation",248.5
01000,Alabama,38,"      Rail transportation",858.3
01000,Alabama,39,"      Water transportation",132.9
01000,Alabama,40,"      Truck transportation",3961.2
01000,Alabama,41,"      Transit and ground passenger transportation",99.6
01000,Alabama,42,"      Pipeline transportation",296.8
01000,Alabama,43,"      Other transportation and support activities",2030.2
01000,Alabama,44,"      Warehousing and storage",1282.6
01000,Alabama,45,"    Information",5889.7
01000,Alabama,46,"      Publishing industries (except Internet)",1223.0
01000,Alabama,47,"      Motion picture and sound recording industries",166.0
