GeoFips,GeoName,LineCode,Description,2022
01000,Alabama,1,All industry total,281569.0
01000,Alabama,2,"  Private industries",238043.3
01000,Alabama,3,"    Agriculture, forestry, fishing and hunting",3337.3
01000,Alabama,4,"      Farms",2653.0
01000,Alabama,5,"      Forestry, fishing, and related activities",684.3
01000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",2469.6
01000,Alabama,7,"      Oil and gas extraction",450.1
01000,Alabama,8,"      Mining (except oil and gas)",1926.1
01000,Alabama,9,"      Support activities for mining",93.4
01000,Alabama,10,"    Utilities",8377.5
01000,Alabama,11,"    Construction",12879.7
01000,Alabama,12,"    Manufacturing",43861.3
01000,Alabama,13,"      Durable goods manufacturing",28456.8
01000,Alabama,14,"        Wood product manufacturing",3224.1
01000,Alabama,15,"        Nonmetallic mineral product manufacturing",1947.6
01000,Alabama,16,"        Primary metal manufacturing",4900.8
01000,Alabama,17,"        Fabricated metal product manufacturing",2965.5
01000,Alabama,18,"        Machinery manufacturing",1169.6
01000,Alabama,19,"        Computer and electronic product manufacturing",1006.1
01000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",854.5
01000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",5908.5
01000,Alabama,22,"        Other transportation equipment manufacturing",4887.6
01000,Alabama,23,"        Furniture and related product manufacturing",797.7
01000,Alabama,24,"        Miscellaneous manufacturing",794.8
01000,Alabama,25,"      Nondurable goods manufacturing",15404.4
01000,Alabama,26,"        Food and beverage and tobacco product manufacturing",3300.4
01000,Alabama,27,"        Textile mills and textile product mills",562.8
01000,Alabama,28,"        Apparel, leather, and allied product manufacturing",101.8
01000,Alabama,29,"        Paper manufacturing",3332.4
01000,Alabama,30,"        Printing and related support activities",248.4
01000,Alabama,31,"        Petroleum and coal products manufacturing",2262.7
01000,Alabama,32,"        Chemical manufacturing",4017.6
01000,Alabama,33,"        Plastics and rubber products manufacturing",1578.3
01000,Alabama,34,"    Wholesale trade",17276.6
01000,Alabama,35,"    Retail trade",21319.4
01000,Alabama,36,"    Transportation and warehousing",8910.1
01000,Alabama,37,"      Air transportation",248.5
01000,Alabama,38,"      Rail transportation",858.3
01000,Alabama,39,"      Water transportation",132.9
01000,Alabama,40,"      Truck transportation",3961.2
01000,Alabama,41,"      Transit and ground passenger transportation",99.6
01000,Alabama,42,"      Pipeline transportation",296.8
01000,Alabama,43,"      Other transportation and support activities",2030.2
01000,Alabama,44,"      Warehousing and storage",1282.6
01000,Alabama,45,"    Information",5889.7
01000,Alabama,46,"      Publishing industries (except Internet)",1223.0
01000,Alabama,47,"      Motion picture and sound recording industries",166.0
01000,Alabama,48,"      Broadcasting (except Internet) and telecommunications",3579.4
01000,Alabama,49,"      Data processing, hosting, and other information services",921.3
01000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",47506.1
01000,Alabama,51,"      Finance and insurance",15122.4
01000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",7525.1
01000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",1113.3
01000,Alabama,54,"        Insurance carriers and related activities",6454.5
01000,Alabama,55,"        Funds, trusts, and other financial vehicles",29.5
01000,Alabama,56,"      Real estate and rental and leasing",32383.7
01000,Alabama,57,"        Real estate",29620.4
01000,Alabama,58,"        Rental and leasing services and lessors of nonfinancial intangible assets",2763.3
01000,Alabama,59,"    Professional and business services",27774.9
01000,Alabama,60,"      Professional, scientific, and technical services",17458.0
01000,Alabama,61,"        Legal services",3088.1
01000,Alabama,62,"        Computer systems design and related services",3554.9
01000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",10815.0
01000,Alabama,64,"      Management of companies and enterprises",2433.0
01000,Alabama,65,"      Administrative and support and waste management and remediation services",7884.0
01000,Alabama,66,"        Administrative and support services",7012.6
01000,Alabama,67,"        Waste management and remediation services",871.4
01000,Alabama,68,"    Educational services, health care, and social assistance",21522.4
01000,Alabama,69,"      Educational services",1411.1
01000,Alabama,70,"      Health care and social assistance",20111.3
01000,Alabama,71,"        Ambulatory health care services",11619.8
01000,Alabama,72,"        Hospitals",5473.0
01000,Alabama,73,"        Nursing and residential care facilities",1898.1
01000,Alabama,74,"        Social assistance",1120.4
01000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",9711.8
01000,Alabama,76,"      Arts, entertainment, and recreation",1235.4
01000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",546.2
01000,Alabama,78,"        Amusement, gambling, and recreation industries",689.1
01000,Alabama,79,"      Accommodation and food services",8476.5
01000,Alabama,80,"        Accommodation",1469.1
01000,Alabama,81,"        Food services and drinking places",7007.3
01000,Alabama,82,"    Other services (except government and government enterprises)",7206.7
01000,Alabama,83,"  Government and government enterprises",43525.7
01000,Alabama,84,"    Federal civilian",10316.3
01000,Alabama,85,"    Military",5486.0
01000,Alabama,86,"    State and local",27723.5
01000,Alabama,,Addenda:,
01000,Alabama,87,Natural resources and mining,5806.9
01000,Alabama,88,Trade,38596.0
01000,Alabama,89,Transportation and utilities,17287.6
01000,Alabama,90,Manufacturing and information,49751.0
01000,Alabama,91,Private goods-producing industries 2,62547.9
01000,Alabama,92,Private services-providing industries 3,175495.4
