GeoFips,GeoName,LineCode,Description,2023
00000,United States *,1,All industry total,27720709.0
00000,United States *,2,"  Private industries",24615614.0
00000,United States *,3,"    Agriculture, forestry, fishing and hunting",274178.0
00000,United States *,4,"      Farms",222304.0
00000,United States *,5,"      Forestry, fishing, and related activities",51875.0
00000,United States *,6,"    Mining, quarrying, and oil and gas extraction",411753.0
00000,United States *,7,"      Oil and gas extraction",257027.0
00000,United States *,8,"      Mining (except oil and gas)",83171.0
00000,United States *,9,"      Support activities for mining",71555.0
00000,United States *,10,"    Utilities",446515.0
00000,United States *,11,"    Construction",1220566.0
00000,United States *,12,"    Manufacturing",2840447.0
00000,United States *,13,"      Durable goods manufacturing",1511940.0
00000,United States *,14,"        Wood product manufacturing",62098.0
00000,United States *,15,"        Nonmetallic mineral product manufacturing",76728.0
00000,United States *,16,"        Primary metal manufacturing",83994.0
00000,United States *,17,"        Fabricated metal product manufacturing",188620.0
00000,United States *,18,"        Machinery manufacturing",200393.0
00000,United States *,19,"        Computer and electronic product manufacturing",308095.0
00000,United States *,20,"        Electrical equipment, appliance, and component manufacturing",76111.0
00000,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",176408.0
00000,United States *,22,"        Other transportation equipment manufacturing",190302.0
00000,United States *,23,"        Furniture and related product manufacturing",32300.0
00000,United States *,24,"        Miscellaneous manufacturing",116892.0
00000,United States *,25,"      Nondurable goods manufacturing",1328506.0
00000,United States *,26,"        Food and beverage and tobacco product manufacturing",335201.0
00000,United States *,27,"        Textile mills and textile product mills",16997.0
00000,United States *,28,"        Apparel, leather, and allied product manufacturing",12426.0
00000,United States *,29,"        Paper manufacturing",74729.0
00000,United States *,30,"        Printing and related support activities",42860.0
00000,United States *,31,"        Petroleum and coal products manufacturing",216782.0
00000,United States *,32,"        Chemical manufacturing",531829.0
00000,United States *,33,"        Plastics and rubber products manufacturing",97682.0
00000,United States *,34,"    Wholesale trade",1653014.0
00000,United States *,35,"    Retail trade",1772380.0
00000,United States *,36,"    Transportation and warehousing",943734.0
00000,United States *,37,"      Air transportation",166618.0
00000,United States *,38,"      Rail transportation",53074.0
00000,United States *,39,"      Water transportation",24492.0
00000,United States *,40,"      Truck transportation",256635.0
00000,United States *,41,"      Transit and ground passenger transportation",68862.0
00000,United States *,42,"      Pipeline transportation",48704.0
00000,United States *,43,"      Other transportation and support activities",207561.0
00000,United States *,44,"      Warehousing and storage",117788.0
00000,United States *,45,"    Information",1477938.0
00000,United States *,46,"      Publishing industries (except Internet)",401531.0
00000,United States *,47,"      Motion picture and sound recording industries",114002.0
00000,United States *,48,"      Broadcasting (except Internet) and telecommunications",492982.0
00000,United States *,49,"      Data processing, hosting, and other information services",469423.0
00000,United States *,50,"    Finance, insurance, real estate, rental, and leasing",5811618.0
00000,United States *,51,"      Finance and insurance",2015595.0
00000,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",913432.0
00000,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",362221.0
00000,United States *,54,"        Insurance carriers and related activities",721127.0
00000,United States *,55,"        Funds, trusts, and other financial vehicles",18816.0
00000,United States *,56,"      Real estate and rental and leasing",3796022.0
00000,United States *,57,"        Real estate",3447148.0
00000,United States *,58,"        Rental and leasing services and lessors of nonfinancial intangible assets",348875.0
00000,United States *,59,"    Professional and business services",3611702.0
00000,United States *,60,"      Professional, scientific, and technical services",2221972.0
00000,United States *,61,"        Legal services",362744.0
00000,United States *,62,"        Computer systems design and related services",489185.0
00000,United States *,63,"        Miscellaneous professional, scientific, and technical services",1370043.0
00000,United States *,64,"      Management of companies and enterprises",503129.0
00000,United States *,65,"      Administrative and support and waste management and remediation services",886601.0
00000,United States *,66,"        Administrative and support services",804531.0
00000,United States *,67,"        Waste management and remediation services",82069.0
00000,United States *,68,"    Educational services, health care, and social assistance",2350905.0
00000,United States *,69,"      Educational services",312038.0
00000,United States *,70,"      Health care and social assistance",2038867.0
00000,United States *,71,"        Ambulatory health care services",1000523.0
00000,United States *,72,"        Hospitals",643823.0
00000,United States *,73,"        Nursing and residential care facilities",196507.0
00000,United States *,74,"        Social assistance",198014.0
00000,United States *,75,"    Arts, entertainment, recreation, accommodation, and food services",1211474.0
00000,United States *,76,"      Arts, entertainment, and recreation",299724.0
00000,United States *,77,"        Performing arts, spectator sports, museums, and related activities",171243.0
00000,United States *,78,"        Amusement, gambling, and recreation industries",128481.0
00000,United States *,79,"      Accommodation and food services",911750.0
00000,United States *,80,"        Accommodation",245561.0
00000,United States *,81,"        Food services and drinking places",666189.0
00000,United States *,82,"    Other services (except government and government enterprises)",589391.0
00000,United States *,83,"  Government and government enterprises",3105093.0
00000,United States *,84,"    Federal civilian",596012.0
00000,United States *,85,"    Military",402764.0
00000,United States *,86,"    State and local",2106317.0
00000,United States *,,Addenda:,
00000,United States *,87,Natural resources and mining,685931.0
00000,United States *,88,Trade,3425394.0
00000,United States *,89,Transportation and utilities,1390249.0
00000,United States *,90,Manufacturing and information,4318385.0
00000,United States *,91,Private goods-producing industries 2,4746944.0
00000,United States *,92,Private services-providing industries 3,19868671.0
00000,United States *,100,"All industry total, overseas activity",153412.0
00000,United States *,101,"Government and government enterprises, overseas activity",153412.0
00000,United States *,102,"Federal civilian, overseas activity",5809.0
00000,United States *,103,"Military, overseas activity",147603.0
01000,Alabama,1,All industry total,304935.6
01000,Alabama,2,"  Private industries",258435.6
01000,Alabama,3,"    Agriculture, forestry, fishing and hunting",3165.4
01000,Alabama,4,"      Farms",2386.9
01000,Alabama,5,"      Forestry, fishing, and related activities",778.5
01000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",2558.0
01000,Alabama,7,"      Oil and gas extraction",267.3
01000,Alabama,8,"      Mining (except oil and gas)",2174.6
01000,Alabama,9,"      Support activities for mining",116.1
01000,Alabama,10,"    Utilities",8708.4
01000,Alabama,11,"    Construction",14197.5
01000,Alabama,12,"    Manufacturing",48208.6
01000,Alabama,13,"      Durable goods manufacturing",31816.2
01000,Alabama,14,"        Wood product manufacturing",3074.4
01000,Alabama,15,"        Nonmetallic mineral product manufacturing",2179.8
01000,Alabama,16,"        Primary metal manufacturing",5400.7
01000,Alabama,17,"        Fabricated metal product manufacturing",3520.0
01000,Alabama,18,"        Machinery manufacturing",1330.6
01000,Alabama,19,"        Computer and electronic product manufacturing",1092.8
01000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",1133.0
01000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",6733.9
01000,Alabama,22,"        Other transportation equipment manufacturing",5661.7
01000,Alabama,23,"        Furniture and related product manufacturing",823.6
01000,Alabama,24,"        Miscellaneous manufacturing",865.7
01000,Alabama,25,"      Nondurable goods manufacturing",16392.4
01000,Alabama,26,"        Food and beverage and tobacco product manufacturing",3523.7
01000,Alabama,27,"        Textile mills and textile product mills",490.7
01000,Alabama,28,"        Apparel, leather, and allied product manufacturing",125.3
01000,Alabama,29,"        Paper manufacturing",3652.8
01000,Alabama,30,"        Printing and related support activities",271.9
01000,Alabama,31,"        Petroleum and coal products manufacturing",2295.7
01000,Alabama,32,"        Chemical manufacturing",4246.5
01000,Alabama,33,"        Plastics and rubber products manufacturing",1785.9
01000,Alabama,34,"    Wholesale trade",18228.9
01000,Alabama,35,"    Retail trade",22989.2
01000,Alabama,36,"    Transportation and warehousing",8854.6
01000,Alabama,37,"      Air transportation",247.5
01000,Alabama,38,"      Rail transportation",904.1
01000,Alabama,39,"      Water transportation",140.1
01000,Alabama,40,"      Truck transportation",3817.0
01000,Alabama,41,"      Transit and ground passenger transportation",116.3
01000,Alabama,42,"      Pipeline transportation",230.9
01000,Alabama,43,"      Other transportation and support activities",2021.2
01000,Alabama,44,"      Warehousing and storage",1377.5
01000,Alabama,45,"    Information",6233.7
01000,Alabama,46,"      Publishing industries (except Internet)",1439.0
01000,Alabama,47,"      Motion picture and sound recording industries",256.5
01000,Alabama,48,"      Broadcasting (except Internet) and telecommunications",3320.0
01000,Alabama,49,"      Data processing, hosting, and other information services",1218.1
01000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",51989.0
01000,Alabama,51,"      Finance and insurance",16377.2
01000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",8351.0
01000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",1126.6
01000,Alabama,54,"        Insurance carriers and related activities",6865.6
01000,Alabama,55,"        Funds, trusts, and other financial vehicles",34.0
01000,Alabama,56,"      Real estate and rental and leasing",35611.7
01000,Alabama,57,"        Real estate",32297.3
01000,Alabama,58,"        Rental and leasing services and lessors of nonfinancial intangible assets",3314.4
01000,Alabama,59,"    Professional and business services",31333.2
01000,Alabama,60,"      Professional, scientific, and technical services",20012.1
01000,Alabama,61,"        Legal services",3573.1
01000,Alabama,62,"        Computer systems design and related services",3853.7
01000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",12585.3
01000,Alabama,64,"      Management of companies and enterprises",2691.0
01000,Alabama,65,"      Administrative and support and waste management and remediation services",8630.1
01000,Alabama,66,"        Administrative and support services",7671.1
01000,Alabama,67,"        Waste management and remediation services",959.0
01000,Alabama,68,"    Educational services, health care, and social assistance",23311.5
01000,Alabama,69,"      Educational services",1515.6
01000,Alabama,70,"      Health care and social assistance",21796.0
01000,Alabama,71,"        Ambulatory health care services",12951.8
01000,Alabama,72,"        Hospitals",5507.9
01000,Alabama,73,"        Nursing and residential care facilities",2094.3
01000,Alabama,74,"        Social assistance",1241.9
01000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",10877.3
01000,Alabama,76,"      Arts, entertainment, and recreation",1365.0
01000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",604.8
01000,Alabama,78,"        Amusement, gambling, and recreation industries",760.2
01000,Alabama,79,"      Accommodation and food services",9512.3
01000,Alabama,80,"        Accommodation",1608.2
01000,Alabama,81,"        Food services and drinking places",7904.1
01000,Alabama,82,"    Other services (except government and government enterprises)",7780.4
01000,Alabama,83,"  Government and government enterprises",46499.9
01000,Alabama,84,"    Federal civilian",10734.6
01000,Alabama,85,"    Military",5949.1
01000,Alabama,86,"    State and local",29816.2
01000,Alabama,,Addenda:,
01000,Alabama,87,Natural resources and mining,5723.4
01000,Alabama,88,Trade,41218.1
01000,Alabama,89,Transportation and utilities,17562.9
01000,Alabama,90,Manufacturing and information,54442.3
01000,Alabama,91,Private goods-producing industries 2,68129.6
01000,Alabama,92,Private services-providing industries 3,190306.1
02000,Alaska,1,All industry total,68056.0
02000,Alaska,2,"  Private industries",55641.9
02000,Alaska,3,"    Agriculture, forestry, fishing and hunting",498.9
02000,Alaska,4,"      Farms",21.2
02000,Alaska,5,"      Forestry, fishing, and related activities",477.7
02000,Alaska,6,"    Mining, quarrying, and oil and gas extraction",10181.6
02000,Alaska,7,"      Oil and gas extraction",6566.5
02000,Alaska,8,"      Mining (except oil and gas)",2351.5
02000,Alaska,9,"      Support activities for mining",1263.7
02000,Alaska,10,"    Utilities",1056.0
02000,Alaska,11,"    Construction",3246.4
02000,Alaska,12,"    Manufacturing",1931.9
02000,Alaska,13,"      Durable goods manufacturing",333.1
02000,Alaska,14,"        Wood product manufacturing",41.6
02000,Alaska,15,"        Nonmetallic mineral product manufacturing",32.1
02000,Alaska,16,"        Primary metal manufacturing",5.5
02000,Alaska,17,"        Fabricated metal product manufacturing",44.4
02000,Alaska,18,"        Machinery manufacturing",15.7
02000,Alaska,19,"        Computer and electronic product manufacturing",25.6
02000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",2.1
